units,area,value,income,occupiedunits,population,population_density,water_area,zip
33714,7.55,488200,68431,31213,87757,11627.0,0.83,11234
21681,3.24,371900,59229,20244,59129,18256.0,0.07,11434
34885,2.17,524100,51725,30601,80018,36934.0,0.05,11229
22155,7.68,467300,85324,21018,59304,7723.0,0.14,10312
26598,1.43,546300,52445,25240,75220,52664.0,0.0,11218
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
12695,1.29,414700,60897,11845,39127,30376.0,0.0,11421
32407,2.07,613000,41328,28421,78731,37956.0,0.0,11223
22155,7.68,467300,85324,21018,59304,7723.0,0.14,10312
29651,1.02,388600,23452,28122,86547,84979.0,0.0,10456
22155,7.68,467300,85324,21018,59304,7723.0,0.14,10312
33313,3.6,478700,61061,31778,93877,26112.0,0.03,11236
34885,2.17,524100,51725,30601,80018,36934.0,0.05,11229
15823,0.33,602400,43107,14199,34003,102315.0,0.0,10026
32407,2.07,613000,41328,28421,78731,37956.0,0.0,11223
9451,0.26,260200,37341,8885,17416,65973.0,0.0,10037
31847,1.54,391700,28348,30201,84500,54944.0,0.0,11212
22476,1.64,485500,55429,20653,62008,37785.0,0.0,11210
18030,0.39,746200,97955,16556,31834,81487.0,0.0,10010
20768,1.54,317800,27481,19774,47621,30841.0,0.04,11224
30073,2.18,913200,95654,28077,63488,29148.0,0.02,11215
31847,1.54,391700,28348,30201,84500,54944.0,0.0,11212
30368,1.45,289700,54258,28408,67970,47002.0,0.13,10463
12772,1.04,386000,20232,11978,37337,35820.0,0.0,10454
28087,2.15,426100,48400,26420,76174,35502.0,0.0,11203
30368,1.45,289700,54258,28408,67970,47002.0,0.13,10463
7806,0.67,447200,56724,7227,24861,37347.0,0.0,11416
6335,0.57,354600,26275,6280,13393,23470.0,0.01,11239
20768,1.54,317800,27481,19774,47621,30841.0,0.04,11224
6335,0.57,354600,26275,6280,13393,23470.0,0.01,11239
9206,0.57,289800,63549,8614,19341,34042.0,0.0,11415
6335,0.57,354600,26275,6280,13393,23470.0,0.01,11239
6335,0.57,354600,26275,6280,13393,23470.0,0.01,11239
21127,2.4,454700,52347,19772,50502,21045.0,0.0,10461
6335,0.57,354600,26275,6280,13393,23470.0,0.01,11239
20225,0.93,297300,52532,19311,43600,46664.0,0.0,11374
4723,1.09,610100,71350,4519,13532,12362.0,0.0,11366
16724,0.98,464500,40372,15512,49896,50927.0,0.02,11237
